clip,rawId,clipFound,clipLength,hitboxStart,hitboxEnd,hitboxCount,invokeAttackCount,recoveryStart,recoveryEnd,hasPoise,hasWeaponTrail,hasRootMotion,inputMarkers,eventDuration,label
a023_031270,31270,1,6.167,1.667,1.767,1,23,1.767,6.167,1,1,1,11,3.033,
a023_031271,31271,1,4.583,1.033,1.133,1,18,1.133,4.583,1,1,1,9,2.7,
a023_031272,31272,1,6.25,1.367,1.467,1,18,1.467,6.25,1,1,1,8,2.933,
a023_031281,31281,1,4.167,0.9,1.267,2,19,1.267,4.167,1,1,1,8,2.433,
a023_031282,31282,1,5.417,1.367,1.767,2,19,1.767,5.417,1,1,1,8,2.933,
a023_031700,31700,1,13.417,0.167,3.967,3,16,3.967,13.417,1,1,1,21,5.933,
a023_031710,31710,1,9.833,0.533,3.3,4,17,3.3,9.833,1,1,1,19,4.4,
a023_031719,31719,1,5.833,0.267,1.033,3,21,1.033,5.833,0,1,1,11,2.5,
a023_031720,31720,1,13.5,0.2,5.267,4,17,5.267,13.5,1,0,1,22,5.667,
a023_031730,31730,0,0,0.2,4.833,3,0,4.833,5.233,0,0,0,22,5.233,
a023_031750,31750,1,12.083,0.333,4.467,9,18,4.467,12.083,1,1,1,23,6.533,
a023_031910,31910,1,3.333,0.233,1.1,3,16,1.1,3.333,0,0,1,6,1.467,
a023_031920,31920,1,4.167,0.233,1.4,2,16,1.4,4.167,0,0,1,7,2,
a023_032000,32000,1,5.333,0.367,2.133,4,24,2.133,5.333,0,1,1,11,2.6,
a023_032010,32010,1,5.083,0.533,1.867,2,24,1.867,5.083,0,1,1,8,2.633,
a023_032020,32020,1,5.25,0.5,2.067,3,24,2.067,5.25,0,1,1,11,2.933,
a023_032030,32030,1,5.167,0.5,1.8,2,24,1.8,5.167,0,1,1,11,2.8,
a023_032040,32040,1,5.583,0.633,1.933,2,23,1.933,5.583,0,1,1,11,3,
a023_032080,32080,1,1.25,0.2,0.3,1,2,0.3,1.25,0,0,0,2,0.433,
a023_032091,32091,1,1.25,0.2,0.3,1,2,0.3,1.25,0,0,0,2,0.4,
a023_032200,32200,1,6.417,1.967,2.067,1,23,2.067,6.417,0,0,1,12,2.767,
a023_032210,32210,1,6.667,2,2.1,1,23,2.1,6.667,0,1,1,13,3.267,
a023_032300,32300,1,4.417,0.267,1.333,2,24,1.333,4.417,0,1,1,7,2.433,
a023_032310,32310,0,0,0.267,1.333,2,24,1.333,2.433,0,1,1,7,2.433,
a023_032400,32400,1,5,0.167,1.7,4,23,1.7,5,0,1,1,11,2.333,
a023_032500,32500,1,7.5,0.333,2.8,2,28,2.8,7.5,0,1,1,12,3.633,
a023_032505,32505,1,5.417,1.867,2.167,2,24,2.167,5.417,0,1,1,9,2.6,
a023_032515,32515,1,5.583,1.933,2.033,1,24,2.033,5.583,0,1,1,9,2.867,
a023_032600,32600,0,0,0.333,3.667,5,34,3.667,4.2,0,1,1,25,4.2,
a023_032605,32605,0,0,0.467,2.6,4,34,2.6,3.133,0,1,1,17,3.133,
a023_032610,32610,0,0,0.933,2.833,3,27,2.833,3.567,1,1,1,21,3.567,
a023_032615,32615,0,0,0.3,2,2,26,2,2.767,1,1,1,17,2.767,
a023_032620,32620,0,0,0.2,3.467,6,25,3.467,4.2,1,1,1,22,4.2,
a023_032621,32621,0,0,0.167,0.267,1,1,0.267,1.3,0,0,0,3,1.3,
a023_032625,32625,0,0,1.467,1.567,1,24,1.567,2.3,1,1,1,12,2.3,
a023_032630,32630,0,0,1.533,3.9,4,24,3.9,4.1,1,1,1,20,4.1,
a023_032635,32635,0,0,0.6,2.233,3,23,2.233,2.333,1,1,1,13,2.333,
a023_032700,32700,1,4.833,0.167,1.967,5,23,1.967,4.833,0,0,1,15,2.333,
a023_033070,33070,1,4.417,1.167,1.267,1,25,1.267,4.417,0,1,1,9,2.7,
a023_033071,33071,1,3.25,0.7,1.033,2,18,1.033,3.25,0,0,1,7,2.233,
a023_033072,33072,1,5.417,1.233,2.067,2,18,2.067,5.417,0,0,1,7,2.667,
a023_033081,33081,1,2,0.533,0.8,2,19,0.8,2,0,0,1,6,2.233,
a023_033082,33082,1,2.667,0.767,1.067,2,19,1.067,2.667,0,0,1,6,2.667,
a023_033270,33270,1,5.167,1.733,1.833,1,24,1.833,5.167,1,1,1,11,2.833,
a023_033271,33271,1,3.833,1.2,1.567,2,18,1.567,3.833,1,1,1,8,2.267,
a023_033272,33272,1,4.167,1.033,1.4,2,18,1.4,4.167,1,1,1,8,2.7,
a023_033281,33281,1,4.167,0.933,1.267,2,19,1.267,4.167,1,1,1,7,2.267,
a023_033282,33282,1,5.417,1.233,1.567,2,19,1.567,5.417,1,1,1,7,2.7,
a023_033900,33900,1,1.667,0.1,0.7,2,16,0.7,1.667,0,0,1,5,0.833,
a023_033910,33910,1,3.333,0.2,1.033,3,16,1.033,3.333,0,0,1,6,1.467,
a023_033920,33920,1,4.167,0.267,1.4,3,16,1.4,4.167,0,0,1,7,2,
a023_034000,34000,1,5.25,0.5,1.8,4,25,1.8,5.25,0,1,1,10,2.567,
a023_034010,34010,1,5.167,0.467,1.567,2,25,1.567,5.167,0,1,1,9,2.767,
a023_034020,34020,1,5.833,0.433,2,3,28,2,5.833,0,1,1,10,2.7,
a023_034030,34030,1,7,0.667,1.767,3,24,1.767,7,0,1,1,9,3.267,
a023_034200,34200,1,7.083,0.233,2.367,5,26,2.367,7.083,0,1,1,16,3,
a023_034300,34300,1,4.417,0.033,1.533,5,25,1.533,4.417,0,1,1,11,2.333,
a023_034310,34310,0,0,0.033,1.533,5,25,1.533,2.333,0,1,1,11,2.333,
a023_034400,34400,1,6.417,0.067,1.7,4,22,1.7,6.417,0,1,1,13,2.833,
a023_034570,34570,1,10,1.333,1.433,1,24,1.433,10,0,1,1,9,2.633,
a023_034571,34571,1,7.5,0.833,1.333,2,18,1.333,7.5,0,0,1,6,2.1,
a023_034572,34572,1,5.417,1.133,1.6,2,18,1.6,5.417,0,0,1,6,2.567,
a023_034581,34581,1,2.5,0.467,0.733,2,19,0.733,2.5,0,0,1,6,2.1,
a023_034582,34582,1,3.75,0.9,1.4,2,19,1.4,3.75,0,0,1,6,2.567,
a023_035000,35000,1,5.25,0.533,1.433,2,26,1.433,5.25,0,1,1,9,2.8,
a023_035010,35010,1,5.167,1.433,1.533,1,26,1.533,5.167,0,1,1,7,2.7,
a023_035020,35020,1,5.417,1.367,1.833,2,25,1.833,5.417,0,1,1,7,3.167,
a023_035030,35030,1,5.833,1.2,1.3,1,26,1.3,5.833,0,1,1,7,2.767,
a023_035040,35040,1,6.917,1.833,1.933,1,25,1.933,6.917,0,1,1,8,3.2,
a023_035080,35080,1,1.25,0.267,0.367,1,2,0.367,1.25,0,0,0,2,0.367,
a023_035091,35091,1,1.25,0.167,0.267,1,2,0.267,1.25,0,0,0,2,0.367,
a023_035900,35900,1,1.667,0.567,0.667,1,16,0.667,1.667,0,0,1,5,1.167,
a023_035910,35910,1,3.333,0.233,1.333,4,16,1.333,3.333,0,0,1,8,1.833,
a023_035920,35920,1,4.167,0.267,1.4,3,16,1.4,4.167,0,0,1,7,2.133,
